华为投资控股有限公司	251	中铁第四勘察设计院集团有限公司
203	惠州亿纬锂能股份有限公司	453	泛亚汽车技术中心有限公司
204	视联动力信息技术股份有限公司	454	奥比中光科技集团股份有限公司
205	平高集团有限公司	455	中国长城科技集团股份有限公司
206	武汉航空仪表有限责任公司	456	山西天地煤机装备有限公司
207	华勤技术股份有限公司	457	上海新昇半导体科技有限公司
208	厦门钨业股份有限公司	458	中国北方稀土（集团）高科技股份有限公司
209	天津航空机电有限公司	459	光明食品（集团）有限公司
210	南通朗恒通信技术有限公司	460	东方电气集团东方汽轮机有限公司
211	中国巨石股份有限公司	461	华润三九医药股份有限公司
212	中交广州航道局有限公司	462	苏州盛科通信股份有限公司
213	浙江正泰电器股份有限公司	463	中电科思仪科技股份有限公司
214	鞍钢股份有限公司	464	国电南京自动化股份有限公司
215	科沃斯机器人股份有限公司	465	阿波罗智联（北京）科技有限公司
216	广东生益科技股份有限公司	466	中国葛洲坝集团股份有限公司
217	中航华东光电有限公司	467	山东省路桥集团有限公司
218	武汉精测电子集团股份有限公司	468	中国路桥工程有限责任公司
219	北京新风航天装备有限公司	469	杭州趣链科技有限公司
220	北京中科宇航技术有限公司	470	中国移动通信集团广东有限公司
221	江苏亨通光电股份有限公司	471	珠海丽珠试剂股份有限公司
222	珠海冠宇电池股份有限公司	472	山东鲁阳节能材料股份有限公司
223	广州无线电集团有限公司	473	腾讯音乐娱乐科技（深圳）有限公司
224	广东东阳光药业有限公司	474	浙江南都电源动力股份有限公司
225	欧菲光集团股份有限公司	475	中国南玻集团股份有限公司
226	中交第四航务工程勘察设计院有限公司	476	上海置信电气有限公司
227	山东能源集团有限公司	477	隆鑫集团有限公司
228	山东高速集团有限公司	478	珠海优特电力科技股份有限公司
229	泰科电子（上海）有限公司	479	广东一方制药有限公司
230	追觅科技（苏州）有限公司	480	中车南京浦镇车辆有限公司
231	贵州航天天马机电科技有限公司	481	第四范式（北京）技术有限公司
232	航天晨光股份有限公司	482	乐普（北京）医疗器械股份有限公司
233	深圳数联天下智能科技有限公司	483	山东电工电气集团有限公司
234	无锡药明康德新药开发股份有限公司	484	法尔胜泓昇集团有限公司
235	中天科技集团有限公司	485	中石化胜利石油工程有限公司
236	中交一公局集团有限公司	486	凌云光技术股份有限公司
237	中车长春轨道客车股份有限公司	487	浙江厚达智能科技股份有限公司
238	卡斯柯信号有限公司	488	珠海大横琴科技发展有限公司
239	富士康工业互联网股份有限公司	489	龙佰集团股份有限公司
